Origin,Sex,Value,Date
Barbados,Maschio,1,01-01-2008
Barbados,Maschio,1,01-01-2009
Barbados,Maschio,1,01-01-2010
Barbados,Maschio,0,01-01-2011
Barbados,Maschio,0,01-01-2012
Barbados,Maschio,0,01-01-2013
Belgio,Maschio,109,01-01-1987
Belgio,Maschio,106,01-01-1988
Belgio,Maschio,100,01-01-1989
Belgio,Maschio,103,01-01-1990
Belgio,Maschio,48,01-01-1991
Belgio,Maschio,0,01-01-1992
Belgio,Maschio,107,01-01-1993
Belgio,Maschio,119,01-01-1994
Belgio,Maschio,126,01-01-1995
Belgio,Maschio,124,01-01-1996
Belgio,Maschio,146,01-01-1997
Belgio,Maschio,150,01-01-1998
Belgio,Maschio,157,01-01-1999
Belgio,Maschio,164,01-01-2000
Belgio,Maschio,184,01-01-2001
Belgio,Maschio,183,01-01-2002
Belgio,Maschio,101,01-01-2003
Belgio,Maschio,101,01-01-2004
Belgio,Maschio,112,01-01-2005
Belgio,Maschio,112,01-01-2006
Belgio,Maschio,112,01-01-2007
Belgio,Maschio,116,01-01-2008
Belgio,Maschio,121,01-01-2009
Belgio,Maschio,127,01-01-2010
Belgio,Maschio,129,01-01-2011
Belgio,Maschio,131,01-01-2012
Belgio,Maschio,111,01-01-2013
Belize,Maschio,0,01-01-1987
Belize,Maschio,0,01-01-1988
Belize,Maschio,0,01-01-1989
Belize,Maschio,0,01-01-1990
Belize,Maschio,0,01-01-1991
Belize,Maschio,0,01-01-1992
Belize,Maschio,0,01-01-1993
Belize,Maschio,0,01-01-1994
Belize,Maschio,0,01-01-1995
Belize,Maschio,0,01-01-1996
Belize,Maschio,0,01-01-1997
Belize,Maschio,0,01-01-1998
Belize,Maschio,0,01-01-1999
Belize,Maschio,2,01-01-2000
Belize,Maschio,1,01-01-2001
Belize,Maschio,0,01-01-2002
Belize,Maschio,0,01-01-2003
Belize,Maschio,0,01-01-2004
Belize,Maschio,0,01-01-2005
Belize,Maschio,0,01-01-2006
Belize,Maschio,0,01-01-2007
Belize,Maschio,0,01-01-2008
Belize,Maschio,0,01-01-2009
Belize,Maschio,0,01-01-2010
Belize,Maschio,0,01-01-2011
Belize,Maschio,0,01-01-2012
Belize,Maschio,0,01-01-2013
Benin (Dahomey),Maschio,1,01-01-1987
Benin (Dahomey),Maschio,1,01-01-1988
Benin (Dahomey),Maschio,1,01-01-1989
Benin (Dahomey),Maschio,1,01-01-1990
Benin (Dahomey),Maschio,1,01-01-1991
Benin (Dahomey),Maschio,0,01-01-1992
Benin (Dahomey),Maschio,5,01-01-1993
Benin (Dahomey),Maschio,7,01-01-1994
Benin (Dahomey),Maschio,8,01-01-1995
Benin (Dahomey),Maschio,7,01-01-1996
Benin (Dahomey),Maschio,7,01-01-1997
Benin (Dahomey),Maschio,7,01-01-1998
Benin (Dahomey),Maschio,10,01-01-1999
Benin (Dahomey),Maschio,11,01-01-2000
Benin (Dahomey),Maschio,10,01-01-2001
Benin (Dahomey),Maschio,13,01-01-2002
Benin (Dahomey),Maschio,6,01-01-2003
Benin (Dahomey),Maschio,8,01-01-2004
Benin (Dahomey),Maschio,9,01-01-2005
Benin (Dahomey),Maschio,10,01-01-2006
Benin (Dahomey),Maschio,9,01-01-2007
Benin (Dahomey),Maschio,6,01-01-2008
Benin (Dahomey),Maschio,8,01-01-2009
Benin (Dahomey),Maschio,8,01-01-2010
Benin (Dahomey),Maschio,11,01-01-2011
Benin (Dahomey),Maschio,16,01-01-2012
Benin (Dahomey),Maschio,13,01-01-2013
Bhutan,Maschio,0,01-01-1987
Bhutan,Maschio,0,01-01-1988
Bhutan,Maschio,0,01-01-1989
Bhutan,Maschio,0,01-01-1990
Bhutan,Maschio,0,01-01-1991
Bhutan,Maschio,0,01-01-1992
Bhutan,Maschio,0,01-01-1993
Bhutan,Maschio,0,01-01-1994
Bhutan,Maschio,0,01-01-1995
Bhutan,Maschio,0,01-01-1996
Bhutan,Maschio,0,01-01-1997
Bhutan,Maschio,1,01-01-1998
Bhutan,Maschio,1,01-01-1999
Bhutan,Maschio,1,01-01-2000
Bhutan,Maschio,1,01-01-2001
Bhutan,Maschio,1,01-01-2002
Bhutan,Maschio,0,01-01-2003
Bhutan,Maschio,0,01-01-2004
Bhutan,Maschio,0,01-01-2005
Bhutan,Maschio,0,01-01-2006
Bhutan,Maschio,0,01-01-2007
Bhutan,Maschio,0,01-01-2008
Bhutan,Maschio,0,01-01-2009
Bhutan,Maschio,0,01-01-2010
Bhutan,Maschio,0,01-01-2011
Bhutan,Maschio,0,01-01-2012
